acad_org,session,cf_term_id,cf_status,course_subject,course_number,section_number,course_title,cf_course_id,instructor_name,start_date,end_date,bb_course_id,cp_cycle_id
BUS-SPS,1,1249,Active,BUS,200,"1         ",Introduction to Business,15656,"Merians Penaloza,Diane S",2024-08-28,2024-12-21,SPS01_BUS_200_1249_15656,10
BUS-SPS,1,1249,Active,BUS,341,"1         ",Ideation and Innovation,30035,"Merians Penaloza,Diane S",2024-08-28,2024-12-21,SPS01_BUS_341_1249_30035,10
BUS-SPS,1,1249,Active,BUS,410,"1         ",Research Methods for Business,15350,"Wheeler,Adrienne Celeste",2024-08-28,2024-12-21,SPS01_BUS_410_1249_15350,10
BUS-SPS,1,1249,Active,BUS,610,"1         ",Strat Mktg & Soc Resp Practice,15397,"Merians Penaloza,Diane S",2024-08-28,2024-12-21,SPS01_BUS_610_1249_15397,10
BUS-SPS,1,1249,Active,BUS,306,"1         ",Managerial Accounting,15560,"Kass-Shraibman,Frimette",2024-08-28,2024-12-21,SPS01_BUS_306_1249_15560,10
BUS-SPS,1,1249,Active,BUS,210,"1         ",Business Mathematics,15586,"Egbe,Chinyere Emmanuel",2024-08-28,2024-12-21,SPS01_BUS_210_1249_15586,10
BUS-SPS,1,1249,Active,BUS,301,"1         ",Managerial Economics,15346,"Kapara Boritzer,Milena",2024-08-28,2024-12-21,SPS01_BUS_301_1249_15346,10
BUS-SPS,1,1249,Active,BUS,340,"1         ",Small Business Mgt & Entrep,15359,"Washington,Christian F",2024-08-28,2024-12-21,SPS01_BUS_340_1249_15359,10
BUS-SPS,1,1249,Active,BUS,342,"1         ",Entrepreneurial Finance/Financ,30050,"Egbe,Chinyere Emmanuel",2024-08-28,2024-12-21,SPS01_BUS_342_1249_30050,10
BUS-SPS,1,1249,Active,BUS,605,"1         ",Leadership Development,15563,"Lewis,Jennifer Denise",2024-08-28,2024-12-21,SPS01_BUS_605_1249_15563,10
BUS-SPS,1,1249,Active,BUS,606,"1         ",Leading Groups and Teams,30053,"Lewis,Jennifer Denise",2024-08-28,2024-12-21,SPS01_BUS_606_1249_30053,10
BUS-SPS,1,1249,Active,MGMT,680,"1         ",Human Resource Management,15394,"Lewis,Jennifer Denise",2024-08-28,2024-12-21,SPS01_MGMT_680_1249_15394,10
BUS-SPS,1,1249,Stop Enrl,BUS,410,"2         ",Research Methods for Business,15351,"Alhamis,Innocentus A",2024-08-28,2024-12-21,SPS01_BUS_410_1249_15351,10
